,County,State,Population
644,Henderson,Illinois,6646
645,Henry,Illinois,48913
646,Iroquois,Illinois,27114
647,Jack,Illinois,56750
648,Jasper,Illinois,9610
649,Jefferson,Illinois,37684
650,Jersey County,Illinois,21773
651,Jo Daviess,Illinois,21235
652,Johnson,Illinois,12417
653,Kane County,Illinois,532403
654,Kankakee,Illinois,109862
655,Kendall,Illinois,128990
656,Knox,Illinois,49699
657,Lake County,Illinois,696535
658,LaSalle County,Illinois,108669
659,Lawrence,Illinois,15678
660,Lee,Illinois,34096
661,Livingston County,Illinois,35648
662,Logan,Illinois,28618
663,McDonough,Illinois,29682
664,McHenry,Illinois,307774
665,McLean,Illinois,171517
666,Macon,Illinois,104009
667,Macoupin,Illinois,44926
668,Madison County,Illinois,262966
669,Marion,Illinois,37205
670,Hall,Illinois,11438
671,Mason,Illinois,13359
672,Massac,Illinois,13772
673,Menard,Illinois,12196
674,Mercer,Illinois,15437
675,Monroe,Illinois,34637
676,Montgomery,Illinois,28414
677,Morgan,Illinois,33658
678,Moultrie,Illinois,14501
679,Ogle County,Illinois,50643
680,Peoria,Illinois,179179
681,Perry,Illinois,20916
682,Piatt,Illinois,16344
683,Pike,Illinois,15561
684,Pope,Illinois,4177
685,Pulaski,Illinois,5335
686,Putnam,Illinois,5739
687,Randolph,Illinois,31782
688,Richland County,Illinois,15513
689,Rock Island,Illinois,141879
690,St. Clair,Illinois,259686
691,Saline,Illinois,23491
692,Sangamon,Illinois,194672
693,Schuyler,Illinois,6768
694,Scott,Illinois,4951
695,Shelby,Illinois,21634
696,Stark County,Illinois,5342
697,Stephenson,Illinois,44498
698,Tazewell,Illinois,131803
699,Union County,Illinois,16653
700,Vermilion,Illinois,75758
701,Wabash,Illinois,11520
702,Warren,Illinois,16844
703,Washington County,Illinois,13887
704,Wayne,Illinois,16215
705,White,Illinois,13537
706,Whiteside,Illinois,55175
707,Will County,Illinois,690743
708,Williamson,Illinois,66597
709,Winnebago,Illinois,282572
710,Woodford,Illinois,38459
711,Indiana,Indiana,6732219
712,Adams,Indiana,35777
713,Allen,Indiana,379299
714,Bartholomew,Indiana,83779
715,Benton,Indiana,8748
716,Blackford,Indiana,11758
717,Boone,Indiana,67843
718,Brown,Indiana,15092
719,Carroll County,Indiana,20257
720,Cass,Indiana,37689
721,Clark County,Indiana,118302
722,Clay County,Indiana,26225
723,Clinton,Indiana,32399
724,Crawford,Indiana,10577
725,Daviess County,Indiana,33351
726,Dearborn,Indiana,49458
727,Decatur,Indiana,26559
728,DeKalb,Indiana,43475
729,Delaware County,Indiana,114135
730,Dubois,Indiana,42736
731,Elkhart,Indiana,206341
732,Fayette,Indiana,23102
733,Floyd,Indiana,78522
734,Fountain,Indiana,16346
735,Franklin,Indiana,22758
736,Fulton,Indiana,19974
737,Gibson,Indiana,33659
738,Grant County,Indiana,65769
739,Greene,Indiana,31922
740,Hamilton,Indiana,338011
741,Hancock,Indiana,78168
742,Harrison,Indiana,40515
743,Hendricks,Indiana,170311
744,Henry,Indiana,47972
745,Ward,Indiana,82544
746,Huntington,Indiana,36520
747,Jack,Indiana,44231
748,Jasper,Indiana,33562
749,Jay,Indiana,20436
750,Jefferson,Indiana,32308
751,Jennings,Indiana,27735
752,Johnson,Indiana,158167
753,Knox,Indiana,36594
754,Kosciusko,Indiana,79456
755,LaGrange,Indiana,39614
756,Lake County,Indiana,485493
757,LaPorte,Indiana,109888
758,Lawrence,Indiana,45370
759,Madison County,Indiana,129569
760,Marion,Indiana,964582
761,Hall,Indiana,46258
762,Martin County,Indiana,10255
763,Miami,Indiana,35516
764,Monroe,Indiana,148431
765,Montgomery,Indiana,38338
766,Morgan,Indiana,70489
767,Newton,Indiana,13984
768,Noble County,Indiana,47744
769,Ohio County,Indiana,5875
770,Orange County,Indiana,19646
771,Owen,Indiana,20799
772,Parke County,Indiana,16937
773,Perry,Indiana,19169
774,Pike,Indiana,12389
775,Porter,Indiana,170389
776,Posey,Indiana,25427
777,Pulaski,Indiana,12353
778,Putnam,Indiana,37576
779,Randolph,Indiana,24665
780,Ripley,Indiana,28324
781,Rush,Indiana,16581
782,St. Joseph,Indiana,271826
783,Scott,Indiana,23873
784,Shelby,Indiana,44729
785,Spencer,Indiana,20277
786,Stark,Indiana,22995
787,Steuben,Indiana,34594
788,Sullivan,Indiana,20669
789,Switzerland,Indiana,10751
790,Tippecanoe,Indiana,195732
791,Tipton,Indiana,15148
792,Union County,Indiana,7054
793,Vanderburgh,Indiana,181451
794,Vermillion,Indiana,15498
795,Vigo,Indiana,107038
796,Wabash,Indiana,30996
797,Warren,Indiana,8265
798,Warrick,Indiana,62998
799,Washington County,Indiana,28036
800,Wayne,Indiana,65884
801,Wells,Indiana,28296
802,White,Indiana,24102
803,Whitley,Indiana,33964
804,Iowa,Iowa,3155070
805,Adair,Iowa,7152
806,Adams,Iowa,3602
807,Allamakee,Iowa,13687
808,Appanoose,Iowa,12426
809,Audubon,Iowa,5496
810,Benton,Iowa,25645
811,Black Hawk,Iowa,131228
812,Boone,Iowa,26234
813,Bremer,Iowa,25062
814,Buchanan,Iowa,21175
